c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
127,110,18,31,131,350,58,102,202,9,1000,1000,1000,1543,1000,1469,2797,2320,2316,2298,-20,-20,-20,20,-20,-20,20,20,20,20,False,ARAM
127,110,18,31,131,350,58,102,202,9,1000,1000,1000,1543,1000,1469,2797,2320,2316,2298,-20,-20,-20,20,-20,-20,20,20,20,20,False,ARAM
127,110,18,31,131,350,58,102,202,9,1000,1000,1000,1543,1000,1469,2797,2320,2316,2298,-20,-20,-20,20,-20,-20,20,20,20,20,False,ARAM
127,110,18,31,131,350,58,102,202,9,1000,1000,1000,1543,1000,1469,2797,2320,2316,2298,-20,-20,-20,20,-20,-20,20,20,20,20,False,ARAM
127,110,18,31,131,350,58,102,202,9,1000,1000,1000,1543,1000,1469,2797,2320,2316,2298,-20,-20,-20,20,-20,-20,20,20,20,20,False,ARAM
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1469,2797,2320,-20,-20,20,20,20,-20,20,-20,20,20,False,ARAM
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1469,2797,2320,-20,-20,20,20,20,-20,20,-20,20,20,False,ARAM
121,35,222,10,82,36,25,17,157,875,1628,1544,2090,1570,1000,1000,2004,2036,1000,1905,20,20,-20,-20,-20,20,-20,20,-20,20,False,ranked
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1469,2797,2320,-20,-20,20,20,20,-20,20,-20,20,20,False,ARAM
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1518,2797,2320,-20,-20,20,20,20,-20,20,20,20,20,False,ARAM
121,35,222,10,82,36,25,17,157,875,1628,1544,2090,1570,1000,1000,2004,2036,1000,1905,20,20,-20,-20,-20,20,-20,20,-20,20,False,ranked
35,36,235,17,236,63,777,145,55,161,2109,1532,1827,2186,1473,1850,1000,1000,2087,1625,20,20,20,20,20,-20,-20,-20,20,-20,True,ranked
420,104,517,50,235,82,56,777,81,101,2090,2140,2117,2144,2095,2155,2196,2103,2148,2139,-20,-20,-20,-20,20,20,20,20,20,20,False,ranked
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1518,2797,2320,-20,-20,20,20,20,-20,20,20,20,20,False,ARAM
121,35,222,10,82,36,25,17,157,875,1628,1544,2090,1570,1000,1000,2004,2036,1000,1905,20,20,-20,-20,-20,20,-20,20,-20,20,False,ranked
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1518,2797,2320,-20,-20,20,20,20,-20,20,20,20,20,False,ARAM
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1518,2797,2320,-20,-20,20,20,20,-20,20,20,20,20,False,ARAM
121,35,222,10,82,36,25,17,157,875,1628,1544,2090,1570,1000,1000,2004,2036,1000,1905,20,20,-20,-20,-20,20,-20,20,-20,20,False,ranked
35,36,235,17,236,63,777,145,55,161,2109,1532,1827,2186,1473,1850,1000,1000,2087,1625,20,20,20,20,20,-20,-20,-20,20,-20,True,ranked
35,36,235,17,236,63,777,145,55,161,2109,1532,1827,2186,1473,1850,1000,1000,2087,1625,20,20,20,20,20,-20,-20,-20,20,-20,True,ranked
35,36,235,17,236,63,777,145,55,161,2109,1532,1827,2186,1473,1850,1000,1000,2087,1625,20,20,20,20,20,-20,-20,-20,20,-20,True,ranked
420,104,517,50,235,82,56,777,81,101,2090,2140,2117,2144,2095,2155,2196,2103,2148,2139,-20,-20,-20,-20,20,20,20,20,20,20,False,ranked
420,104,517,50,235,82,56,777,81,101,2090,2140,2117,2144,2095,2155,2196,2103,2148,2139,-20,-20,-20,-20,20,20,20,20,20,20,False,ranked
420,104,517,50,235,82,56,777,81,101,2090,2140,2117,2144,2095,2155,2196,2103,2148,2139,-20,-20,-20,-20,20,20,20,20,20,20,False,ranked
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1518,2797,2320,-20,-20,20,20,20,-20,20,20,20,20,False,ARAM
121,35,222,10,82,36,25,17,157,875,1628,1544,2090,1570,1000,1000,2004,2036,1000,1905,20,20,-20,-20,-20,20,-20,20,-20,20,False,ranked
35,36,235,17,236,63,777,145,55,161,2109,1532,1827,2186,1473,1850,1000,1000,2087,1625,20,20,20,20,20,-20,-20,-20,20,-20,True,ranked
420,104,517,50,235,82,56,777,81,101,2090,2140,2117,2144,2095,2155,2196,2103,2148,2139,-20,-20,-20,-20,20,20,20,20,20,20,False,ranked
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1518,2797,2320,-20,-20,20,20,20,-20,20,20,20,20,False,ARAM
121,35,222,10,82,36,25,17,157,875,1628,1544,2090,1570,1000,1000,2004,2036,1000,1905,20,20,-20,-20,-20,20,-20,20,-20,20,False,ranked
427,887,99,115,203,68,56,3,266,50,2083,2318,2036,1000,2437,2246,1956,1518,2797,2320,-20,-20,20,20,20,-20,20,20,20,20,False,ARAM
