c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode

127,110,18,31,131,350,58,102,202,9,1000,1000,1000,1543,1000,1469,2797,2320,2316,2298,-50,-90,-90,-30,-50,50,90,70,-10,-10,False,ARAM

51,86,105,266,75,101,427,222,161,62,2276,2300,2516,1000,2303,1000,1000,1000,1543,1000,30,-10,10,30,30,-50,-90,-90,-30,-50,True,ARAM

412,86,76,21,420,58,25,45,1,84,2203,1184,1000,2309,1899,1677,2126,1336,1534,1000,-10,-10,30,50,90,-90,-50,-50,-50,-50,True,ranked

523,76,16,27,25,32,45,117,498,30,1936,2061,2516,1000,1000,1704,2090,1831,2033,2532,90,50,10,30,50,-90,90,-90,90,50,False,ARAM

61,9,27,498,67,75,10,55,412,15,2031,2025,2060,2011,2015,1936,2061,2516,1000,1000,-10,-90,10,90,-30,90,50,10,30,50,False,ARAM

777,523,45,33,1,28,238,81,163,34,1847,2009,2257,1000,1000,1936,2061,2516,1000,1000,30,-50,-10,90,90,90,50,10,30,50,True,ARAM

29,122,115,876,45,134,107,33,498,222,1991,1850,1519,2067,2353,2043,2065,1000,2039,1000,-10,90,90,90,90,-90,-50,90,90,90,False,ARAM

81,18,9,64,55,69,412,57,143,432,2086,2017,1000,1944,2552,1000,1000,1000,1000,2094,-50,-30,-90,-90,-90,30,30,90,90,90,False,ARAM

51,7,131,223,107,222,76,75,91,517,1000,1944,2552,1586,1000,1887,1935,1964,1980,2478,-90,-90,-90,-90,-90,90,90,10,90,90,False,ARAM

82,15,83,117,1,3,36,127,51,122,1366,1710,1754,2390,1963,1000,2099,1000,1944,2552,-30,30,-30,30,90,-10,-10,-90,-90,-90,True,ARAM

40,67,35,26,4,117,126,45,498,10,2010,2350,1000,1475,2037,2025,1000,2552,1944,1993,90,90,90,50,-30,-90,-90,-90,-90,-30,True,ARAM

40,28,91,80,145,23,150,20,63,54,1980,1667,2227,1000,1607,1000,1944,2552,1000,2466,-30,50,50,90,90,-90,-90,-90,30,30,False,ARAM

110,67,161,222,92,203,18,30,11,105,1000,1944,2552,1000,2466,2111,1000,1000,1000,1000,-90,-90,-90,30,30,90,90,30,30,-10,False,ARAM

