c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1r,s2r,s3r,s4r,s5r,s6r,s7r,s8r,s9r,s10r,s1ts,s2ts,s3ts,s4ts,s5ts,s6ts,s7ts,s8ts,s9ts,s10ts,result,gamemode
127,110,18,31,131,350,58,102,202,9,1000,1000,1000,1543,1000,1469,2797,2320,2316,2298,-20,-20,-20,-20,-20,20,20,20,20,20,False,ARAM
51,86,105,266,75,101,427,222,161,62,2276,2300,2516,1000,2303,1000,1000,1000,1543,1000,20,20,-20,-20,20,-20,-20,-20,-20,-20,True,ARAM
523,76,16,27,25,32,45,117,498,30,1936,2061,2516,1000,1000,1704,2088,1831,2033,2532,20,20,-20,-20,20,-20,20,-20,20,20,False,ARAM
61,9,27,498,67,75,10,55,412,15,2031,2025,2060,2016,2015,1936,2061,2516,1000,1000,-20,-20,-20,20,-20,20,20,-20,-20,20,False,ARAM
777,523,45,33,1,28,238,81,163,34,1847,2009,2257,1000,1000,1936,2061,2516,1000,1000,20,-20,20,20,20,20,20,-20,-20,20,True,ARAM
235,58,43,15,350,107,432,18,267,142,1941,1331,1000,2020,2439,1932,1936,1000,2516,1000,20,20,20,20,20,20,20,20,-20,20,True,ARAM
117,110,17,84,350,429,8,67,72,26,1970,2061,1000,2516,1000,1898,1945,1631,1621,2161,-20,20,20,-20,20,-20,-20,-20,-20,-20,True,ARAM
412,432,99,498,142,61,18,82,67,98,1881,2516,1000,2061,1000,2240,1451,2010,1952,1960,-20,-20,20,20,20,-20,-20,-20,-20,20,True,ARAM
112,40,2,45,102,62,38,5,266,145,2110,1831,1704,2532,2145,1000,1000,2512,1696,2113,20,-20,-20,20,20,-20,-20,20,20,20,True,ARAM
350,29,59,236,36,10,82,67,31,115,2170,2139,2124,2182,2142,2207,1842,2149,1000,1000,20,-20,-20,-20,20,-20,20,20,-20,-20,True,ARAM
39,18,43,96,518,81,51,64,77,105,2343,1000,2168,1000,1000,2134,2194,2012,2384,2061,-20,-20,20,-20,-20,20,20,20,-20,20,True,ARAM
516,11,103,51,26,67,45,20,145,117,2439,2142,1000,1940,1882,1000,2532,1704,1980,1831,20,-20,20,20,20,-20,20,-20,20,-20,True,ranked
17,42,117,89,126,58,31,119,78,161,1000,1000,1000,1543,1000,1000,2243,2711,2042,1000,-20,-20,-20,-20,-20,-20,20,20,-20,-20,True,ARAM
350,112,2,104,76,68,122,4,238,143,2243,2711,1539,1742,2179,2287,2162,2269,2293,2214,20,20,20,20,20,-20,-20,-20,-20,-20,True,ARAM
98,72,103,18,43,102,64,81,22,16,1478,1532,1522,1487,1525,1539,1534,1539,1623,1518,-20,20,20,-20,-20,20,-20,20,-20,20,False,ranked
19,11,133,81,17,98,163,157,119,80,1484,1486,1467,1456,1435,1478,1473,1470,1493,1479,20,-20,-20,20,20,-20,-20,-20,20,20,True,ranked
56,234,42,15,25,82,35,164,145,80,1478,1524,1492,1489,1492,1502,1545,1503,1498,1510,-20,20,20,-20,-20,20,-20,20,-20,20,True,ranked
41,92,68,222,412,164,56,1,67,99,1399,1404,1495,1506,1000,1440,1478,1397,1144,1615,-20,20,-20,-20,-20,20,-20,20,20,-20,False,ranked
110,24,36,202,89,121,104,58,51,235,1617,1642,1592,1709,1698,1698,1661,1630,1644,1623,20,-20,20,20,20,-20,20,-20,20,-20,True,ranked
114,427,238,51,350,8,141,91,29,235,1618,1616,1717,1596,1612,1657,1642,1000,1643,1623,-20,-20,-20,-20,-20,20,20,20,20,-20,False,ranked
17,5,84,67,37,6,121,80,360,235,1545,1645,1611,1628,1588,1591,1581,1629,1590,1623,-20,-20,-20,-20,-20,-20,20,-20,20,-20,False,ranked
